id,alias,call_sign,code_iata,code_icao,country_id,name
7L,,ECHO ROMEO,7L,ERO,il,Sun D'Or
7M,Mongol Air,Mongol_AIr,7M,ZTF,mn,Mongolian International Air Lines
7O,All Colombia,,7O,7KK,co,All Colombia
7P,,BATAVIA,7P,BTV,id,Metro Batavia
7Q,PAWA Dominicana,PAWA,7Q,,do,Pan Am World Airways Dominicana
7T,,AIR GLACIERS,7T,AGV,ch,Air Glaciers
7W,,WAYRAPER,7W,,pe,Wayraper
7Y,,FLYING CARPET,7Y,,lb,Med Airways
7Z,,CREOLE,7Z,,cv,Halcyonair
88,All Australia,,88,8K8,au,All Australia
8A,,ATLAS BLUE,8A,BMM,ma,Atlas Blue
8B,,,8B,BCC,th,BusinessAir
8D,,,8D,,,Astair
8E,,BERING AIR,8E,BRG,us,Bering Air
8F,,SAOTOME AIRWAYS,8F,STP,st,STP Airways
8H,,HELIFRANCE,8H,HFR,fr,Heli France
8I,,,8I,,it,Myway Airlines
8J,,ARGAN,8J,JFU,ma,Jet4You
8K,Voestar Brasil,,8K,K88,br,Voestar
8L,,,8L,CGP,ae,Cargo Plus Aviation
8M,,MAXAIR,8M,MXL,se,Maxair
8M,,MYANMAR,8M,MMA,mm,Myanmar Airways International
8M,,assignment postponed,8M,MMM,mm,Myanmar Airways International
8N,,NORDFLIGHT,8N,NKF,se,Barents AirLink
8O,,,8O,,ca,West Coast Air
8P,,PASCO,8P,PCO,ca,Pacific Coastal Airline
8Q,,,8Q,,mv,Maldivian Air Taxi
8Q,,ONUR AIR,8Q,OHY,tr,Onur Air
8R,,TRIP,8R,TIB,br,TRIP Linhas A
8T,,,8T,,,Air Tindi
8U,,AFRIQIYAH,8U,AAW,,Afriqiyah Airways
8V,,ASTRAL CARGO,8V,ACP,ke,Astral Aviation
8Z,,WIZZBUL,8Z,WVL,bg,Wizz Air Hungary
99,,,99,,it,Ciao Air
9A,All Africa,,9A,99F,za,All Africa
9C,Chunqiu Airlines,,9C,,cn,China SSS
9E,,FLAGSHIP,9E,FLG,us,Pinnacle Airlines
9H,,MDLR,9H,,in,MDLR Airlines
9J,Regionalia Chile,,9J,CR1,cl,Regionalia Chile
9K,,CAIR,9K,KAP,us,Cape Air
9L,,COLGAN,9L,CJC,us,Colgan Air
9N,Regional Air Iceland,,9N,N78,is,Regional Air Iceland
9Q,,PEEBEE AIR,9Q,PBA,th,PB Air
9R,,SATENA,9R,NSE,co,SATENA
9S,,AIR SPRING,9S,CQH,cn,Spring Airlines
9T,,ATHABASKA,9T,ABS,ca,Transwest Air
9U,,AIR MOLDOVA,9U,MLD,md,Air Moldova
9W,,JET AIRWAYS,9W,JAI,in,Jet Airways
9X,Regionalia Venezuela,,9X,9XX,,Regionalia Venezuela
9Y,,Kazakh,9Y,KZK,kz,Air Kazakhstan
A1,,atifly,A1,A1F,us,Atifly
A2,All America,,A2,AL2,us,All America
A3,,AEGEAN,A3,AEE,gr,Aegean Airlines
A4,,SOUTHERN WINDS,A4,SWD,ar,Southern Winds Airlines
A5,,AIRLINAIR,A5,RLA,fr,Airlinair
A6,,ALPAV,A6,,at,Air Alps Aviation (A6)
A7,,RED COMET,A7,MPD,es,Air Plus Comet
A9,,TAMAZI,A9,TGZ,ge,Georgian Airways
AA,,AMERICAN,AA,AAL,us,American Airlines
AB,,AIR BERLIN,AB,BER,de,Air Berlin
AC,,AIR CANADA,AC,ACA,ca,Air Canada
AD,Azul Linhas Aéreas Brasileiras,,AD,AZU,br,Azul
AE,,Mandarin,AE,MDA,tw,Mandarin Airlines
AF,,AIRFRANS,AF,AFR,fr,Air France
AH,,AIR ALGERIE,AH,DAH,dz,Air Algerie
