id,alias,call_sign,code_iata,code_icao,country_id,name
KC,,ASTANALINE,KC,KZR,kz,Air Astana
KD,,KALININGRAD AIR,KD,KNI,ru,KD Avia
KE,,KOREANAIR,KE,KAL,,Korean Air
KF,,BLUEFIN,KF,BLF,fi,Blue1
KG,Royal Inc.,RAW,KG,RAW,us,Royal Airways
KH,,,KH,KHK,ua,Kharkiv Airlines
KI,,ADAM SKY,KI,DHI,id,Adam Air
KJ,,BEE MED,KJ,LAJ,gb,British Mediterranean Airways
KK,,ATLASJET,KK,KKK,tr,Atlasjet
KL,,KLM,KL,KLM,nl,KLM Royal Dutch Airlines
KM,,AIR MALTA,KM,AMC,mt,Air Malta
KN,,,KN,,cn,China United
KO,,ACE AIR,KO,AER,us,Alaska Central Express
KQ,,KENYA,KQ,KQA,ke,Kenya Airways
KR,,CONTICOM,KR,CWK,km,Comores Airlines
KS,,PENINSULA,KS,PEN,us,Peninsula Airways
KT,,Vickjet,KT,VKJ,fr,VickJet
KU,,KUWAITI,KU,KAC,kw,Kuwait Airways
KV,,AIR MINVODY,KV,MVD,ru,Kavminvodyavia
KW,,Carnival Air,KW,,us,Carnival Air Lines
KX,,CAYMAN,KX,CAY,ky,Cayman Airways
KY,Kreta Sky,KSY,KY,KSY,gr,KSY
L1,All Argentina,,L1,AL1,ar,All Argentina
L3,,BILLA TRANSPORT,L3,LTO,at,LTU Austria
L4,Air luch,russian sky,L4,LJJ,ru,Luchsh Airlines
L5,,LUFT TRANSPORT,L5,LTR,no,Lufttransport
L6,,,L6,MAI,mr,Mauritania Airlines International
L7,,ENTERPRISE LUHANSK,L7,,ua,Lugansk Airlines
L8,,Bluebird,L8,LBL,de,Line Blue
L9,All Asia,,L9,AL3,cn,All Asia
LA,,LAN,LA,LAN,cl,LAN Airlines
LB,,,LB,,in,Air Costa
LC,,VELOG,LC,VLO,br,Varig Log
LF,,NORDIC,LF,NDC,se,FlyNordic
LG,,LUXAIR,LG,LGL,lu,Luxair
LH,,LUFTHANSA,LH,DLH,de,Lufthansa
LH,,LUFTHANSA CARGO,LH,GEC,de,Lufthansa Cargo
LI,,LIAT,LI,LIA,ag,Leeward Islands Air Transport
LJ,,Jin Air,LJ,JNA,,Jin Air
LK,,AIRLUXOR,LK,LXR,pt,Air Luxor
LM,,MOZAMBIQUE,LM,LAM,mz,Linhas A
LN,,LIBAIR,LN,LAA,,Libyan Arab Airlines
LO,,POLLOT,LO,LOT,pl,LOT Polish Airlines
LP,,LANPERU,LP,LPE,pe,LAN Peru
LQ,,,LQ,LMM,ru,LCM AIRLINES
LR,,LACSA,LR,LRC,cr,LACSA
LS,,CHANNEX,LS,EXS,gb,Jet2.com
LT,,LTU,LT,LTU,de,LTU International
LU,,LANEX,LU,LXP,cl,LAN Express
LV,,ALBANIAN,LV,LBC,al,Albanian Airlines
LW,,TSUNAMI,LW,NMI,us,Pacific Wings
LX,Swiss Airlines,SWISS,LX,SWR,ch,Swiss International Air Lines
LY,,ELAL,LY,ELY,il,El Al Israel Airlines
LZ,,,LZ,,,Balkan Bulgarian Airlines
M1,Maryland,Maryland Flight,M1,M1F,us,Maryland Air
M2,,,M2,,de,MHS Aviation GmbH
M3,,ABSA Cargo,M3,TUS,br,ABSA - Aerolinhas Brasileiras
M4,MARYSYA AIRLINES,MARSHAK AIR,M4,1QA,ru,Marysya Airlines
M5,,KENMORE,M5,KEN,us,Kenmore Air
M7,,MAS CARGA,M7,MAA,mx,MasAir
M9,,MOTOR SICH,M9,MSI,ua,Motor Sich
MA,,MALEV,MA,MAH,hu,Malév
MB,,BLACK SEA,MB,MNB,tr,MNG Airlines
MD,,AIR MADAGASCAR,MD,MDG,mg,Air Madagascar
ME,,CEDAR JET,ME,MEA,lb,Middle East Airlines
MF,,XIAMEN AIR,MF,CXA,cn,Xiamen Airlines
MH,,MALAYSIAN,MH,MAS,my,Malaysia Airlines
MI,,SILKAIR,MI,SLK,sg,SilkAir
MJ,,LAPA,MJ,LPR,ar,L
MK,,AIRMAURITIUS,MK,MAU,mu,Air Mauritius
ML,,Maldivo,ML,MAV,mv,Maldivo Airlines
MM,,Air Peach,MM,,jp,Peach Aviation
MN,,COMMERCIAL,MN,CAW,za,Comair
MO,,SULTAN,MO,AUH,ae,Abu Dhabi Amiri Flight
MP,,MARTINAIR,MP,MPH,nl,Martinair
MQ,,EAGLE FLIGHT,MQ,EGF,us,American Eagle Airlines
MR,Homer Sky,,MR,OME,de,Homer Air
MS,,EGYPTAIR,MS,MSR,eg,Egyptair
MT,,KESTREL,MT,TCX,gb,Thomas Cook Airlines
MU,,CHINA EASTERN,MU,CES,cn,China Eastern Airlines
MW,,MYLAND,MW,MYD,bz,Maya Island Air
MX,,MEXICANA,MX,MXA,mx,Mexicana de Aviaci
MY,,,MY,MWA,eg,Midwest Airlines (Egypt)
MZ,,MERPATI,MZ,MNA,id,Merpati Nusantara Airlines
N0,NORTE,,N0,,ar,Norte Lineas Aereas
N1,,,N1,,pe,N1
N4,Regionalia México,,N4,J88,mx,Regionalia México
N5,,SKAGWAY AIR,N5,SGY,us,Skagway Air Service
N7,All Spain,,N7,N77,es,All Spain
N8,,,N8,NCR,us,National Air Cargo
N9,All Europe,,N9,N99,gb,All Europe
NA,,,NA,,iq,Al-Naser Airlines
NB,,STERLING,NB,SNB,dk,Sterling Airlines
NC,,NATIONAL JET,NC,NJS,au,National Jet Systems
NE,,RELAX,NE,ESK,sk,SkyEurope
NF,,AIR VAN,NF,AVN,vu,Air Vanuatu
NG,,LAUDA AIR,NG,LDA,at,Lauda Air
NH,ANA All Nippon Airways,ALL NIPPON,NH,ANA,jp,All Nippon Airways
NI,,PORTUGALIA,NI,PGA,pt,Portugalia
NJ,,Nordic Global,NJ,NGB,fi,Nordic Global Airlines
NK,,SPIRIT WINGS,NK,NKS,us,Spirit Airlines
NL,,SHAHEEN AIR,NL,SAI,pk,Shaheen Air International
NM,,ALADA AIR,NM,DRD,es,Air Madrid
NN,,MOV AIR,NN,MOV,ru,VIM Airlines
NP,,NILEBIRD,NP,NIA,eg,Nile Air
NQ,,AIR JAPAN,NQ,AJX,jp,Air Japan
NR,Jettor,JETHAPPY,NR,JTO,hk,Jettor Airlines
NS,,,NS,,ge,Caucasus Airlines
NT,,,NT,IBB,es,Binter Canarias
NU,,JAI OCEAN,NU,JTA,jp,Japan Transocean Air
NW,,NORTHWEST,NW,NWA,us,Northwest Airlines
NX,,AIR MACAO,NX,AMU,mo,Air Macau
NY,,FAXI,NY,FXI,is,Air Iceland
NZ,,NEW ZEALAND,NZ,ANZ,nz,Air New Zealand
O1,Orbit Azerbaijan,Orbitaz,O1,OAB,az,Orbit Airlines Azerbaijan
O2,,,O2,,gn,Oceanic Airlines
O3,,SHUN FENG,O3,CSS,cn,SF Airlines
O6,,OCEANAIR,O6,ONE,br,Oceanair
O7,,AUSJET,O7,OZJ,au,Ozjet Airlines
O8,,OASIS,O8,OHK,hk,Oasis Hong Kong Airlines
OA,,OLYMPIC,OA,OAL,gr,Olympic Airlines
OB,,AIR ASTRAKHAN,OB,ASZ,ru,Astrakhan Airlines
OC,,CATOVAIR,OC,,mu,Catovair
OD,,Malindo,OD,MXD,my,Malindo Air
OF,,AIR FINLAND,OF,FIF,fi,Air Finland
OG,,,OG,,ua,AirOnix
OH,,COMAIR,OH,COM,us,Comair
OI,,,OI,ORC,au,Orchid Airlines
OJ,,OVERLAND,OJ,OLA,ng,Overland Airways
OK,CSA Czech Airlines,CSA-LINES,OK,CSA,cz,Czech Airlines
OL,,OLTRA,OL,OLT,de,Ostfriesische Lufttransport
OM,,MONGOL AIR,OM,MGL,mn,MIAT Mongolian Airlines
ON,,AIR NAURU,ON,RON,nr,Nauru Air Corporation
OO,,SKYWEST,OO,SKW,us,SkyWest
OQ,,CHONG QING,OQ,CQN,cn,Chongqing Airlines
OR,,ARKEFLY,OR,TFL,nl,Arkefly
OS,,AUSTRIAN,OS,AUA,at,Austrian Airlines
OT,,PELICAN,OT,PEL,au,Aeropelican Air Services
OU,,CROATIA,OU,CTN,hr,Croatia Airlines
OV,,ESTONIAN,OV,ELL,ee,Estonian Air
OX,,ORIENT THAI,OX,OEA,th,Orient Thai Airlines
OY,,OMNI-EXPRESS,OY,OAE,us,Omni Air International
OZ,,ASIANA,OZ,AAR,,Asiana Airlines
P0,,,P0,,zm,Proflight Commuter Services
P4,,,P4,,us,Patriot Airways
P5,,AEROREPUBLICA,P5,RPB,co,AeroRep
P7,,REGIOPAR,P7,REP,py,Regional Paraguaya
P8,,Air Mekong,P8,MKG,vn,Air Mekong
P9,,,P9,,pe,Peruvian Airlines
PA,,IPV,PA,IPV,,Parmiss Airlines (IPV)
PC,,SUNTURK,PC,PGT,tr,Pegasus Airlines
PD,,PORTER AIR,PD,POE,ca,Porter Airlines
PE,,AIR EUROPE,PE,AEL,it,Air Europe
PF,,PRIMERA,PF,,is,Primera Air
PG,,BANGKOK AIR,PG,BKP,th,Bangkok Airways
PH,,POLYNESIAN,PH,PAO,ws,Polynesian Airlines
PI,,PIEDMONT,PI,PDT,us,Piedmont Airlines (1948-1989)
PJ,,,PJ,SPM,fr,Air Saint Pierre
PK,PIA Pakistan International,PAKISTAN,PK,PIA,pk,Pakistan International Airlines
PL,,Aeroperu,PL,PLI,pe,Aeroper
PM,,TROPISER,PM,TOS,bz,Tropic Air
PN,,WEST CHINA,PN,CHB,cn,West Air China
PO,,FlyPortugal,PO,FPT,pt,FlyPortugal
PP,Indus Airlines Pak,AIPL,PP,AI0,pk,Air Indus
PQ,slowbird,slowbird,PQ,LOO,ru,LSM Airlines
PR,,PHILIPPINE,PR,PAL,ph,Philippine Airlines
PS,,UKRAINE INTERNATIONAL,PS,AUI,ua,Ukraine International Airlines
PT,,,PT,,pe,Red Jet Andes
PU,,PLUNA,PU,PUA,uy,PLUNA
PV,,SKYJET,PV,PNR,es,PAN Air
PW,,PRECISION AIR,PW,PRF,,Precision Air
PX,,NUIGINI,PX,ANG,pg,Air Niugini
PY,,SURINAM,PY,SLM,sr,Surinam Airways
PZ,,PARAGUAYA,PZ,LAP,py,TAM Mercosur
Q2,,ISLAND AVIATION,Q2,,mv,Maldivian
Q3,Sochi Air,russian doll,Q3,QER,ru,SOCHI AIR CHATER
Q5,,MILE-AIR,Q5,MLA,us,40-Mile Air
Q6,,CONDOR-PERU,Q6,CDP,pe,Aero Condor Peru
Q8,,PAC-EAST CARGO,Q8,PEC,ph,Pacific East Asia Cargo Airlines
Q9,,,Q9,NAK,ne,Arik Niger
QA,,,QA,,mx,Click (Mexicana)
QB,,NATIONAL,QB,GFG,ge,Georgian National Airlines
QC,,,QC,,cm,Camair-co
QD,Добролёт,DOBROLET,QD,DOB,ru,Dobrolet
QE,,QREX,QE,QQE,qa,Qatar Executive
QF,Qantas Airways,QANTAS,QF,QFA,au,Qantas
QG,,SUPERGREEN,QG,,id,Citilink Indonesia
QH,,AIR FLORIDA,QH,FLZ,us,Air Florida
QI,,CIMBER,QI,CIM,dk,Cimber Air
QJ,,,QJ,,us,Jet Airways
QK,,JAZZ,QK,JZA,ca,Air Canada Jazz
QL,,AERO LANKA,QL,RLN,lk,Aero Lanka
QM,,MALAWI,QM,AML,mw,Air Malawi
QO,,ORIGIN,QO,OGN,nz,Origin Pacific Airways
QQ,,UNITY,QQ,UTY,au,Alliance Airlines
QR,,QATARI,QR,QTR,qa,Qatar Airways
QS,,SKYTRAVEL,QS,TVS,cz,Travel Service
QT,,TAMPA,QT,TPA,co,TAMPA
QU,,CRANE,QU,UGX,ug,East African
QV,,LAO,QV,LAO,,Lao Airlines
QW,,BLUE WINGS,QW,BWG,de,Blue Wings
QX,Horizon Airlines,HORIZON AIR,QX,QXE,us,Horizon Air
QY,,,QY,,ca,Red Jet Canada
QZ,,WAGON AIR,QZ,AWQ,id,Indonesia AirAsia
R2,,ORENBURG,R2,ORB,ru,Orenburg Airlines
R3,,AIR YAKUTIA,R3,SYL,ru,Aircompany Yakutia
R4,,,R4,,ru,Rossiya
R5,,MALTA CHARTER,R5,MAC,mt,Malta Air Charter
R6,,,R6,,gt,RACSA
R7,,AROSCA,R7,OCA,,Aserca Airlines
R8,RussianConector,russiancloud,R8,RRJ,ru,AirRussia
RA,,ROYAL NEPAL,RA,RNA,np,Royal Nepal Airlines
RA,,ROYAL NEPAL,RA,RNA,np,Nepal Airlines
RB,,SYRIANAIR,RB,SYR,sy,Syrian Arab Airlines
RC,,FAROELINE,RC,FLI,fo,Atlantic Airways
RD,,RYAN INTERNATIONAL,RD,RYN,us,Ryan International Airlines
RE,,AER ARANN,RE,REA,ie,Aer Arann
RF,,FLO WEST,RF,FWL,us,Florida West International Airways
RG,Varig,VARIG,RG,VRN,br,VRG Linhas Aereas
RH,,PUBLIC EXPRESS,RH,RPH,id,Republic Express Airlines
RH,,MASCOT,RH,HKC,hk,Hong Kong Air Cargo
RI,,MANDALA,RI,MDL,id,Mandala Airlines
RJ,,JORDANIAN,RJ,RJA,jo,Royal Jordanian
RK,,AIRAFRIC,RK,RKA,,Air Afrique
RL,,,RL,RFJ,jo,Royal Falcon
RM,Rainbow Air US,Rainbow Air,RM,RNY,us,Rainbow Air US
RN,Rainbow Air (RAI),Rainbow,RN,RAB,us,Rainbow Air (RAI)
RO,,TAROM,RO,ROT,ro,Tarom
RP,,CHAUTAUQUA,RP,CHQ,us,Chautauqua Airlines
RQ,,KAMGAR,RQ,KMF,af,Kam Air
RS,Air Canada Express,Sky Regional,RS,,ca,Sky Regional
RU,Rainbow Air EU,Rainbow Air,RU,RUE,gb,Rainbow Air Euro
RV,,CASPIAN,RV,CPN,,Caspian Airlines
RW,,BRICKYARD,RW,RPA,us,Republic Airlines
RX,Rainbow Air POL,Rainbow Air,RX,RPO,us,Rainbow Air Polynesia
RX,,REGENT,RX,RGE,bd,Regent Airways
RY,Rainbow Air CAN,Rainbow CAN,RY,RAY,ca,Rainbow Air Canada
RZ,,,RZ,,se,Euro Exec Express
S0,Aero Spike,Spike Air,S0,SAL,us,Spike Airlines
S1,,,S1,SA1,rs,Serbian Airlines
S2,,SAHARA,S2,RSH,in,Air Sahara
S3,,SANTA BARBARA,S3,BBR,,Santa Barbara Airlines
S4,,AIR AZORES,S4,RZO,pt,SATA International
S5,,MERCURY,S5,TCF,us,Shuttle America
S6,,,S6,,us,Salmon Air
S7,Sibir Airlines,SIBERIAN AIRLINES,S7,SBI,ru,S7 Airlines
S8,,,S8,SBD,fi,Snowbird Airlines
S9,,,S9,,gh,Starbow Airlines
SA,SAA South African Airways,SPRINGBOK,SA,SAA,za,South African Airways
SB,,AIRCALIN,SB,ACI,fr,Air Caledonie International
SC,,SHANDONG,SC,CDG,cn,Shandong Airlines
SD,,SUDANAIR,SD,SUD,sd,Sudan Airways
SE,,STARWAY,SE,SEU,fr,XL Airways France
SG,,SPICEJET,SG,SEJ,in,Spicejet
SH,,SHARP,SH,SHA,au,Sharp Airlines
SI,,BLUEJET,SI,SIH,ie,Skynet Airlines
SJ,,SRIWIJAYA,SJ,SJY,id,Sriwijaya Air
SK,SAS Scandinavian Airlines,SCANDINAVIAN,SK,SAS,se,Scandinavian Airlines System
SL,,MENTARI,SL,TLM,th,Thai Lion Air
SM,,MANILA SKY,SM,MNP,ph,Spirit of Manila Airlines
SN,SN Brussels Airlines,BEE-LINE,SN,DAT,be,Brussels Airlines
SO,,SALSA,SO,SLC,ht,Salsa d'Haiti
SP,,SATA,SP,SAT,pt,SATA Air Acores
SQ,,SINGCARGO,SQ,SQC,sg,Singapore Airlines Cargo
SQ,,SINGAPORE,SQ,SIA,sg,Singapore Airlines
SR,,Swissair,SR,SWR,ch,Swissair
SS,,CORSAIR,SS,CRL,fr,Corsairfly
ST,,GERMANIA,ST,GMI,de,Germania
SU,,AEROFLOT,SU,AFL,ru,Aeroflot Russian Airlines
SV,,SAUDIA,SV,SVA,sa,Saudi Arabian Airlines
SW,,NAMIBIA,SW,NMB,na,Air Namibia
SX,,SKYFOX,SX,,ch,SkyWork Airlines
SY,,SUN COUNTRY,SY,SCX,us,Sun Country Airlines
SZ,SZA,SZA,SZ,,at,Salzburg arrows
T0,,TACA PERU,T0,,pe,TACA Peru
T2,,THAI CARGO,T2,TCG,th,Thai Air Cargo
T3,,EASTFLIGHT,T3,EZE,gb,Eastern Airways
T4,,HELLAS JET,T4,HEJ,gr,Hellas Jet
T5,Turkmenhovayollary,TURKMENISTAN,T5,TUA,tm,Turkmenistan Airlines
T6,,,T6,TP6,us,Trans Pas Air
T7,,TWINJET,T7,TJT,fr,Twin Jet
TA,TACA,TACA-COSTARICA,TA,TAT,cr,Grupo TACA
TB,,,TB,TBZ,br,TrasBrasil
TC,,TANZANIA,TC,ATC,,Air Tanzania
TD,,,TD,LUR,am,Atlantis European Airways
TE,,LITHUANIA AIR,TE,LIL,lt,FlyLal
TF,,Scanwings,TF,SCW,se,Malmö Aviation
TG,,THAI,TG,THA,th,Thai Airways International
TH,,,TH,THS,br,TransBrasil Airlines
TI,Trans,,TI,THI,br,TransHolding
TJ,,T.J. Air,TJ,TJA,us,T.J. Air
TK,,TURKAIR,TK,THY,tr,Turkish Airlines
TL,,TANGO LIMA,TL,TMA,lb,Trans Mediterranean Airlines
TL,,TOPEND,TL,ANO,au,Airnorth
TM,,,TM,,mz,Air Mozambique
TN,,TAHITI AIRLINES,TN,THT,fr,Air Tahiti Nui
TO,,FRENCH SUN,TO,TVF,fr,Transavia France
TP,TAP Air Portugal,AIR PORTUGAL,TP,TAP,pt,TAP Portugal
TQ,,TXW,TQ,TXW,us,Texas Wings
TR,,,TR,SCO,sg,Scoot
TR,,GO CAT,TR,TGW,sg,Tiger Airways
TS,,TRANSAT,TS,TSC,ca,Air Transat
TT,,TIGGOZ,TT,TGG,au,Tigerair Australia
TU,,TUNAIR,TU,TAR,tn,Tunisair
TV,,VIRGIN EXPRESS,TV,VEX,be,Virgin Express
TW,,TWAY AIR,TW,TWB,,Tway Airlines
TX,,FRENCH WEST,TX,FWI,fr,Air Caraïbes
TY,,,TY,IWD,es,Iberworld
U1,,,U1,ABI,ru,Aviabus
U2,EasyJet Airline,EASY,U2,EZY,gb,easyJet
U3,,AVIES,U3,AIA,ee,Avies
U4,,MULTITRADE,U4,PMT,kh,PMTair
U5,,GETAWAY,U5,GWY,us,USA3000 Airlines
U6,,SVERDLOVSK AIR,U6,SVR,ru,Ural Airlines
U7,,,U7,,ca,Northern Dene Airways
U8,,ARMAVIA,U8,RNV,am,Armavia
U9,,TATARSTAN,U9,TAK,ru,Tatarstan Airlines
UA,,UNITED,UA,UAL,us,United Airlines
UB,,UNIONAIR,UB,UBA,mm,Myanma Airways
UD,,HEX AIRLINE,UD,HER,fr,Hex'Air
UE,,NASAIRWAYS,UE,NAS,er,Nasair
UF,,UKRAINE MEDITERRANEE,UF,UKM,ua,UM Airlines
UG,,,UG,TUI,tn,Tuninter
UH,,,UH,,us,US Helicopter Corporation
UI,,EUROCYPRIA,UI,ECA,cy,Eurocypria Airlines
UJ,,ALMASRIA,UJ,LMU,eg,AlMasria Universal Airlines
UK,,VISTARA,UK,VTI,in,Vistera
UL,,SRILANKAN,UL,ALK,lk,SriLankan Airlines
UM,,AIR ZIMBABWE,UM,AZW,zw,Air Zimbabwe
UN,,TRANSOVIET,UN,TSO,ru,Transaero Airlines
UO,,HONGKONG SHUTTLE,UO,HKE,,Hong Kong Express Airways
UP,,BAHAMAS,UP,BHS,bs,Bahamasair
UQ,,GREEN CITY,UQ,CBG,cn,Guangxi Beibu Gulf Airlines
UQ,,LOU LAN,UQ,CUH,cn,Urumqi Air
UQ,,SKYJET,UQ,SJU,ug,Skyjet Airlines
UR,,,UR,,ru,UTair-Express
US,,U S AIR,US,USA,us,US Airways
UT,,UTAIR,UT,UTA,ru,UTair Aviation
UU,,REUNION,UU,REU,fr,Air Austral
UX,,EUROPA,UX,AEA,es,Air Europa
UZ,,BURAQAIR,UZ,BRQ,,El-Buraq Air Transport
V0,,CONVIASA,V0,VCV,,Conviasa
V2,,RUBY,V2,RBY,us,Vision Airlines (V2)
V3,,CARPATAIR,V3,KRP,ro,Carpatair
V5,,,V5,,sk,Danube Wings (V5)
V6,,,V6,,ec,VIP Ecuador
V8,,ATRAN,V8,VAS,,ATRAN Cargo Airlines
V9,,,V9,HCW,lt,Star1 Airlines
VA,,VIRGIN,VA,VOZ,au,Virgin Australia
VC,,,VC,,au,Strategic Airlines
VD,,,VD,,fr,Air Libert
VE,,VOLA,VE,VLE,it,Volare Airlines
VF,,VALUAIR,VF,VLU,sg,Valuair
VG,,RUBENS,VG,VLM,be,VLM Airlines
VH,,,VH,VNP,fj,Virgin Pacific
VI,,VOLGA-DNEPR,VI,VDA,ru,Volga-Dnepr Airlines
VJ,,,VJ,RAC,kh,Royal Air Cambodge
VK,,VIRGIN NIGERIA,VK,VGN,ng,Virgin Nigeria Airways
VL,,,VL,VIM,bg,Air VIA
VN,,VIET NAM AIRLINES,VN,HVN,vn,Vietnam Airlines
VO,,TYROLEAN,VO,TYR,at,Tyrolean Airways
VP,,VASP,VP,VSP,br,VASP
VQ,,DELPHI,VQ,VKH,gr,Viking Hellas
VR,,CABOVERDE,VR,TCV,pt,TACV
VS,,VIRGIN,VS,VIR,gb,Virgin Atlantic Airways
VT,,AIR TAHITI,VT,VTA,pf,Air Tahiti
VU,,AIRIVOIRE,VU,VUN,,Air Ivoire
VV,,AEROSVIT,VV,AEW,ua,Aerosvit Airlines
VW,,TRANS-AEROMAR,VW,TAO,mx,Aeromar
VX,,REDWOOD,VX,VRD,us,Virgin America
VY,,VUELING,VY,VLG,es,Vueling Airlines
VY,,,VY,FOS,tw,Formosa Airlines
VZ,,KESTREL,VZ,MYT,gb,MyTravel Airways
W1,WEA,WEA,W1,WE1,ca,World Experience Airline
W2,,,W2,,nl,Maastricht Airlines
W4,Sovet Air,sovet,W4,WER,ru,AeroWorld
W5,,MAHAN AIR,W5,IRM,,Mahan Air
W6,,WIZZ AIR,W6,WZZ,hu,Wizz Air
W7,Austral Brasil lineas aereas,,W7,,br,Austral Brasil
W9,,AIR BAGAN,W9,JAB,mm,Air Bagan
WA,,CITY,WA,KLC,nl,KLM Cityhopper
WA,,WESTERN,WA,WAL,us,Western Airlines
WB,,RWANDAIR,WB,RWD,rw,Rwandair Express
WC,,,WC,ISV,hn,Islena De Inversiones
WD,,AMSTEL,WD,AAN,nl,Amsterdam Airlines
WF,,WIDEROE,WF,WIF,no,Widerøe
WG,,sunwing,WG,,ca,Sunwing
WH,,,WH,,cn,China Northwest Airlines (WH)
WJ,,WEB-BRASIL,WJ,WEB,br,WebJet Linhas A
WK,,EDELWEISS,WK,EDW,ch,Edelweiss Air
WM,,Winair,WM,,an,Windward Islands Airways
WN,,SOUTHWEST,WN,SWA,us,Southwest Airlines
WO,,WORLD,WO,WOA,us,World Airways
WP,,,WP,MKU,us,Island Air (WP)
WQ,,,WQ,PQW,us,PanAm World Airways
WS,,WESTJET,WS,WJA,ca,WestJet
WU,,WIZZAIR UKRAINE,WU,WAU,ua,Wizz Air Ukraine
WV,,FLYING SWEDE,WV,SWV,se,Swe Fly
WW,,BABY,WW,BMI,gb,bmibaby
WX,,CITY-IRELAND,WX,BCY,ie,CityJet
WY,,OMAN AIR,WY,OMA,om,Oman Air
WZ,Avialinii 400,AIR RED,WZ,RWZ,ru,Red Wings
X3,,YELLOW CAB,X3,HLX,de,TUIfly
XA,,XAIR,XA,XAU,us,XAIR USA
XB,NEXT,XB,XB,NXB,br,NEXT Brasil
XE,,JET LINK,XE,BTA,us,ExpressJet
XF,,VLADAIR,XF,VLK,ru,Vladivostok Air
XG,,CALIMA,XG,CLI,es,Calima Aviacion
XJ,,MESABA,XJ,MES,us,Mesaba Airlines
XK,,CORSICA,XK,CCM,fr,Corse-Mediterranee
XL,,LAN ECUADOR,XL,LNE,ec,Aerolane
XM,,ALIEXPRESS,XM,SMX,it,Alitalia Express
XN,,,XN,,id,Xpressair
XO,,FUN JET,XO,LTE,es,LTE International Airways
XP,XPTO,XPTO,XP,XPT,pt,XPTO
XQ,,SUNEXPRESS,XQ,SXS,tr,SunExpress
XR,,,XR,,au,Skywest Australia
XT,,EXEL COMMUTER,XT,AXL,nl,Air Exel
XT,,RED PHOENIX,XT,IDX,id,Indonesia AirAsia X
XV,,,XV,,,BVI Airways
XW,SkyExpress,SKYSTORM,XW,SXR,ru,Sky Express
XX,,,XX,GFY,es,Greenfly
XY,,NAS EXPRESS,XY,KNE,sa,Nas Air
XZ,,EXPRESSWAYS,XZ,,,Congo Express
Y1,,YCS,Y1,,us,Yellowstone Club Private Shuttle
Y4,,VOLARIS,Y4,VOI,mx,Volaris
Y5,,,Y5,AWA,kz,Asia Wings
Y7,,,Y7,,ru,NordStar Airlines
Y8,Marusya Air,snowball,Y8,MRS,ru,Marusya Airways
Y9,,KISHAIR,Y9,IRK,,Kish Air
YC,,Ciel,YC,YCC,ca,Ciel Canadien
YD,,,YD,,by,Gomelavia
YE,,,YE,YEL,us,Yellowtail
YH,,,YH,,,Yangon Airways Ltd.
YK,,,YK,,tr,Cyprus Turkish Airlines
YL,,YAMAL,YL,LLM,ru,Yamal Airlines
YM,,MONTAIR,YM,MGX,me,Montenegro Airlines
YO,,,YO,TYS,br,TransHolding System
YQ,,,YQ,,ru,Polet Airlines (Priv)
YR,,,YR,,us,SENIC AIRLINES
YS,,REGIONAL EUROPE,YS,RAE,fr,Régional
YT,,,YT,,np,Yeti Airways
YV,,AIR SHUTTLE,YV,ASH,us,Mesa Airlines
YW,,AIR NOSTRUM,YW,ANE,es,Air Nostrum
YX,,,YX,MEP,us,Midwest Airlines
YY,,,YY,VWA,de,Virginwings
YZ,Russian. Yours Air Lines,Moscow frog,YZ,YZZ,ru,LSM AIRLINES
Z2,,,Z2,,ph,Zest Air
Z3,,AVAVIA,Z3,SMJ,zw,Avient Aviation
Z4,,ZOOM,Z4,OOM,ca,Zoom Airlines
Z6,ZABAIKAL,BAIKAL,Z6,ZTT,ru,ZABAIKAL AIRLINES
Z7,,,Z7,,bb,REDjet
Z8,,,Z8,AZN,,Amaszonas
Z9,Flightlink,,Z9,,,Flightlink Tanzania
ZA,,ASTAIR,ZA,SUW,ru,Interavia Airlines
ZA,,CYCLONE,ZA,CYD,us,Access Air
ZB,,MONARCH,ZB,MON,gb,Monarch Airlines
ZB,,BOURBON,ZB,BUB,re,Air Bourbon
ZC,,KORONGO,ZC,KGO,,Korongo Airlines
ZE,,Eastar,ZE,ESR,,Eastar Jet
ZF,,ATHENSAIR,ZF,,gr,Athens Airways
ZG,,JACKPOT,ZG,VVM,mo,Viva Macau
ZH,,SHENZHEN AIR,ZH,CSZ,cn,Shenzhen Airlines
ZI,,AIGLE AZUR,ZI,AAF,fr,Aigle Azur
ZJ,,,ZJ,,zm,Zambezi Airlines (ZMA)
ZK,,LAKES AIR,ZK,GLA,us,Great Lakes Airlines
ZL,,REX,ZL,RXA,au,Regional Express
ZM,Apache,APACHE,ZM,IWA,us,Apache Air
ZN,Zenith,ZENITH,ZN,ZNA,th,Zenith International Airline
ZP,Baikal Airlines,Lakeair,ZP,ZZZ,ru,Zabaykalskii Airlines
ZQ,,LOCAIR,ZQ,LOC,us,Locair
ZS,,NAJIM,ZS,SMY,sa,Sama Airlines
ZW,,AIR WISCONSIN,ZW,AWI,us,Air Wisconsin
ZX,,,ZX,ZXY,jp,Japan Regio
ZY,,ADA AIR,ZY,ADE,al,Ada Air
ZZ,,,ZZ,,be,Zz
МИ,,Air Minvody,МИ,,ru,KMV
ЯП,,,ЯП,,ru,Polar Airlines
