id,code_iata,code_icao,country_id,municipality,name,timezone_id
02tn,,02tn,us,Murfreesboro,Ellis Field,America/Chicago
02tx,,02tx,us,New Home,The Palms At Kitty Hawk Airport,America/Chicago
02ut,,02ut,us,Lucin,Lucin Airport,America/Denver
02va,,02va,us,Culpeper,The Greenhouse Airport,America/New_York
02wa,,02wa,us,South Prairie,Cawleys South Prairie Airport,America/Los_Angeles
02wi,,02wi,us,Hudson,Beer Airport,America/Chicago
02wn,,02wn,us,Tonasket,Fowler Field,America/Los_Angeles
02xs,,02xs,us,Elroy,Seidel Ranch Airport,America/Chicago
03az,,03az,us,Hereford,Thompson International Aviation Airport,America/Phoenix
03co,,03co,us,Platteville,Kugel-Strong Airport,America/Denver
03fa,,03fa,us,Lake Placid,Lake Persimmon Airstrip,America/New_York
03fd,,03fd,us,Bonifay,Tharpe Airport,America/New_York
03ia,,03ia,us,Montezuma,East Field,America/Chicago
03id,,03id,us,Council,Flying Y Ranch Airport,America/Boise
03ii,,03ii,us,Mount Vernon,Davis Field Ultralightport,America/Chicago
03il,,03il,us,Monee,Wix Airport,America/Chicago
03in,,03in,us,Arcadia,Heinzman Airport,America/Indiana/Indianapolis
03ky,,03ky,us,Henderson,Flying H Farms Airport,America/Chicago
03ma,,03ma,us,Hadley,Hadley Airport,America/New_York
03me,,03me,us,Harrison,Maple Ridge Airport,America/New_York
03mn,,03mn,us,Lakefield,Nauerth Land Ranch Airport,America/Chicago
03mo,,03mo,us,Urbana,Cahoochie Airport,America/Chicago
03mt,,03mt,us,Cascade,Cascade Airport,America/Denver
03mu,,03mu,us,Archie,Mc Donnell Airport,America/Chicago
03nc,,03nc,us,Carolina Beach,Pilots Ridge Airport,America/New_York
03nd,,03nd,us,Edinburg,Olafson Brothers Airport,America/Chicago
03ne,,03ne,us,Comstock,Hyde Ranch Airport,America/Chicago
03nv,,03nv,us,Ruby Valley,Llama Ranch Airport,America/Los_Angeles
03ny,,03ny,us,Riverhead,Talmage Field,America/New_York
03oh,,03oh,us,Fremont,Gibbs Field,America/New_York
